Field number,Collection date,Season,Sex,Class,Elevation,Habitat description,Total Length,Hind Foot,Ear,FA length,Mass
DMR976,3/11/17,DRY,Female,FEMALE NONPREGNANT ADULT,1027,"mixed rural agricultural/grasslands area, multiple tukals",130,18,20,76.28,58
DMR957,3/10/17,DRY,Female,FEMALE NONPREGNANT ADULT,971,"mixed rural agricultural/grasslands area, multiple tukals",133,19,20,72.18,58.54
DMR910,3/5/17,DRY,Female,FEMALE NONPREGNANT ADULT,1030,mixed rural agricultural/grasslands area,125,16,22,74.65,59.1
DMR955,3/10/17,DRY,Female,FEMALE NONPREGNANT ADULT,971,"mixed rural agricultural/grasslands area, multiple tukals",133,18,20,75.66,62.08
DMR966,3/11/17,DRY,Female,FEMALE NONPREGNANT ADULT,1027,"mixed rural agricultural/grasslands area, multiple tukals",128,18,21,76.01,61.45
DMR959,3/10/17,DRY,Female,FEMALE NONPREGNANT ADULT,971,"mixed rural agricultural/grasslands area, multiple tukals",124,20,21,76.1,63.29
DMR923,3/7/17,DRY,Female,FEMALE PREGNANT ADULT,1027,"mixed rural agricultural/grasslands area, some tukals",134,17,19,71.86,68.2
DMR968,3/11/17,DRY,Female,FEMALE PREGNANT ADULT,1027,"mixed rural agricultural/grasslands area, multiple tukals",125,18,23,71.9,70.93
DMR927,3/7/17,DRY,Female,FEMALE PREGNANT ADULT,1027,"mixed rural agricultural/grasslands area, some tukals",NA,NA,NA,72.21,69.52
DMR926,3/7/17,DRY,Female,FEMALE PREGNANT ADULT,1027,"mixed rural agricultural/grasslands area, some tukals",136,20,19,72.68,71.71
DMR942,3/9/17,DRY,Female,FEMALE PREGNANT ADULT,1023,"mixed rural agricultural/grasslands area, multiple tukals",128,18,22,73.04,75
DMR954,3/10/17,DRY,Female,FEMALE PREGNANT ADULT,971,"mixed rural agricultural/grasslands area, multiple tukals",136,16,17.5,73.16,72.55
DMR956,3/10/17,DRY,Female,FEMALE PREGNANT ADULT,971,"mixed rural agricultural/grasslands area, multiple tukals",133,20,18.5,74.17,68.3
DMR965,3/11/17,DRY,Female,FEMALE PREGNANT ADULT,1027,"mixed rural agricultural/grasslands area, multiple tukals",140,20,21,77.29,76.96
DMR962,3/10/17,DRY,Female,FEMALE PREGNANT ADULT,971,"mixed rural agricultural/grasslands area, multiple tukals",133,19,21,77.89,83.36
DMR915,3/6/17,DRY,Female,FEMALE PREGNANT ADULT,971,"mixed rural agricultural/grasslands area, some tukals",NA,NA,NA,NA,75.31
DMR973,3/11/17,DRY,Female,FEMALE SUBADULT,1027,"mixed rural agricultural/grasslands area, multiple tukals",114,18,21,65.76,38.72
DMR929,3/7/17,DRY,Female,FEMALE SUBADULT,1027,"mixed rural agricultural/grasslands area, some tukals",110,18,15,68.15,45.07
DMR972,3/11/17,DRY,Female,FEMALE SUBADULT,1027,"mixed rural agricultural/grasslands area, multiple tukals",114,18,21,68.27,40.44
DMR937,3/8/17,DRY,Female,FEMALE SUBADULT,1030,mixed rural agricultural/grasslands area,114,19,21,68.46,43.56
DMR975,3/11/17,DRY,Female,FEMALE SUBADULT,1027,"mixed rural agricultural/grasslands area, multiple tukals",112,19,20,68.62,43.64
DMR922,3/7/17,DRY,Female,FEMALE SUBADULT,1027,"mixed rural agricultural/grasslands area, some tukals",114,18,19,69.36,42.93
DMR916,3/6/17,DRY,Female,FEMALE SUBADULT,971,"mixed rural agricultural/grasslands area, some tukals",120,18,22,69.51,46.45
DMR970,3/11/17,DRY,Female,FEMALE SUBADULT,1027,"mixed rural agricultural/grasslands area, multiple tukals",115,19,21,70.88,47.45
DMR928,3/7/17,DRY,Female,FEMALE SUBADULT,1027,"mixed rural agricultural/grasslands area, some tukals",NA,NA,NA,70.96,49.39
DMR953,3/9/17,DRY,Female,FEMALE SUBADULT,1023,"mixed rural agricultural/grasslands area, multiple tukals",121,18,22,72.25,48.7
DMR964,3/10/17,DRY,Female,FEMALE SUBADULT,971,"mixed rural agricultural/grasslands area, multiple tukals",127,18,19,74.15,55.79
DMR995,7/16/17,RAINY,Female,FEMALE PREGNANT ADULT,957,"Rural area with multiple tukals, agricultural plots, rolling hills",127,20,22,73.28,66.73
DMR997,7/16/17,RAINY,Female,FEMALE PREGNANT ADULT,957,"Rural area with multiple tukals, agricultural plots, rolling hills",134,18,21,78.53,67.77
DMR1026,7/19/17,RAINY,Female,FEMALE PREGNANT ADULT,1030,"Rural area, multiple tukals, agricultural plots, rolling hills",132,19,2,73.54,65
DMR999,7/16/17,RAINY,Female,FEMALE PREGNANT ADULT,957,"Rural area with multiple tukals, agricultural plots, rolling hills",130,21,21,75.18,66.68
DMR1020,7/19/17,RAINY,Female,FEMALE PREGNANT ADULT,1030,"Rural area, multiple tukals, agricultural plots, rolling hills",130,18,19,75.2,66.18
DMR1023,7/19/17,RAINY,Female,FEMALE PREGNANT ADULT,1030,"Rural area, multiple tukals, agricultural plots, rolling hills",128,19,23,71.9,66.25
DMR1008,7/17/17,RAINY,Female,FEMALE PREGNANT ADULT,1053,"Rural area with multiple tukals, agricultural plots, rolling hills; nets set between mango trees and tukuls; teak",124,20,20,73.9,64.4
DMR1010,7/17/17,RAINY,Female,FEMALE PREGNANT ADULT,1053,"Rural area with multiple tukals, agricultural plots, rolling hills; nets set between mango trees and tukuls; teak",130,17,21,74.26,67.04
DMR1011,7/17/17,RAINY,Female,FEMALE PREGNANT ADULT,1053,"Rural area with multiple tukals, agricultural plots, rolling hills; nets set between mango trees and tukuls; teak",123,18,20,71.13,56.79
DMR1016,7/18/17,RAINY,Female,FEMALE PREGNANT ADULT,957,"Rural area with multiple tukals, agricultural plots, rolling hills",120,19,21,72.54,61.36
DMR1014,7/18/17,RAINY,Female,FEMALE PREGNANT ADULT,957,"Rural area with multiple tukals, agricultural plots, rolling hills",125,20,19,76.38,65
DMR990,7/15/17,RAINY,Female,FEMALE PREGNANT ADULT,974,Epomophorus sighted in mohagany tree in rural trading center surrounded by agricultural plots,135,21,22,77.5,72.93
DMR978,7/14/17,RAINY,Female,FEMALE SUBADULT,1030,"Epomophorus sighted in teak trees next to house; rural, tukals, rolling hills",114,18,19,69.14,43.92
DMR1030,7/20/17,RAINY,Female,FEMALE SUBADULT,1053,"Rural area; nets sighted amongst tukals and mango tree, agricultral fields",119,18,22,65,45.52
DMR1015,7/18/17,RAINY,Female,FEMALE SUBADULT,957,"Rural area with multiple tukals, agricultural plots, rolling hills",110,17,20,65.05,39.3
DMR1012,7/17/17,RAINY,Female,FEMALE SUBADULT,1053,"Rural area with multiple tukals, agricultural plots, rolling hills; nets set between mango trees and tukuls; teak",107,19,19,65.3,43.28
DMR1031,7/20/17,RAINY,Female,FEMALE SUBADULT,1053,"Rural area; nets sighted amongst tukals and mango tree, agricultral fields",115,17,19.5,67,45.13
DMR1032,7/20/17,RAINY,Female,FEMALE SUBADULT,1053,"Rural area; nets sighted amongst tukals and mango tree, agricultral fields",120,19,23,67,39.12
DMR1025,7/19/17,RAINY,Female,FEMALE SUBADULT,1030,"Rural area, multiple tukals, agricultural plots, rolling hills",116,20,20,68,45.56
DMR1018,7/18/17,RAINY,Female,FEMALE SUBADULT,957,"Rural area with multiple tukals, agricultural plots, rolling hills",110,20,21,69.62,44.42
DMR1028,7/19/17,RAINY,Female,FEMALE SUBADULT,1030,"Rural area, multiple tukals, agricultural plots, rolling hills",110,18,17,69.85,44.78
DMR1017,7/18/17,RAINY,Female,FEMALE SUBADULT,957,"Rural area with multiple tukals, agricultural plots, rolling hills",105,20,19,71.74,47.45
DMR931,3/8/17,DRY,Male,MALE SCROTAL ADULT,1030,mixed rural agricultural/grasslands area,150,17,21,74.45,73.64
DMR940,3/8/17,DRY,Male,MALE SCROTAL ADULT,1030,mixed rural agricultural/grasslands area,140,18,21,74.52,75.87
DMR958,3/10/17,DRY,Male,MALE SCROTAL ADULT,971,"mixed rural agricultural/grasslands area, multiple tukals",145,19,20,74.92,74.88
DMR921,3/6/17,DRY,Male,MALE SCROTAL ADULT,971,"mixed rural agricultural/grasslands area, some tukals",140,17,23,75.12,79.6
DMR946,3/9/17,DRY,Male,MALE SCROTAL ADULT,1023,"mixed rural agricultural/grasslands area, multiple tukals",143,18,21,75.5,74.92
DMR936,3/8/17,DRY,Male,MALE SCROTAL ADULT,1030,mixed rural agricultural/grasslands area,136,19,22,75.9,69.66
DMR944,3/9/17,DRY,Male,MALE SCROTAL ADULT,1023,"mixed rural agricultural/grasslands area, multiple tukals",135,19,23,76.12,72.59
DMR963,3/10/17,DRY,Male,MALE SCROTAL ADULT,971,"mixed rural agricultural/grasslands area, multiple tukals",144,22,24,77,74.02
DMR945,3/9/17,DRY,Male,MALE SCROTAL ADULT,1023,"mixed rural agricultural/grasslands area, multiple tukals",141,19,22,77.04,73.38
DMR960,3/10/17,DRY,Male,MALE SCROTAL ADULT,971,"mixed rural agricultural/grasslands area, multiple tukals",148,20,23,77.7,79.34
DMR951,3/9/17,DRY,Male,MALE JUVENILE,1023,"mixed rural agricultural/grasslands area, multiple tukals",118,18,20,67.44,46.37
DMR919,3/6/17,DRY,Male,MALE JUVENILE,971,"mixed rural agricultural/grasslands area, some tukals",118,17.5,21,68.23,50.26
DMR918,3/6/17,DRY,Male,MALE JUVENILE,971,"mixed rural agricultural/grasslands area, some tukals",122,18,20,68.35,49.59
DMR952,3/9/17,DRY,Male,MALE JUVENILE,1023,"mixed rural agricultural/grasslands area, multiple tukals",115,20,20,68.91,51.63
DMR950,3/9/17,DRY,Male,MALE JUVENILE,1023,"mixed rural agricultural/grasslands area, multiple tukals",118,18,19,69.03,48.75
DMR920,3/6/17,DRY,Male,MALE JUVENILE,971,"mixed rural agricultural/grasslands area, some tukals",114,17,21,69.98,48.18
DMR934,3/8/17,DRY,Male,MALE JUVENILE,1030,mixed rural agricultural/grasslands area,124,16,20,70.62,49.18
DMR961,3/10/17,DRY,Male,MALE JUVENILE,971,"mixed rural agricultural/grasslands area, multiple tukals",118,18,22,70.63,47.18
DMR941,3/9/17,DRY,Male,MALE JUVENILE,1023,"mixed rural agricultural/grasslands area, multiple tukals",123,19,20,70.98,52.51
DMR939,3/8/17,DRY,Male,MALE JUVENILE,1030,mixed rural agricultural/grasslands area,122,18,23,71.85,49.37
DMR932,3/8/17,DRY,Male,MALE SUBADULT,1030,mixed rural agricultural/grasslands area,130,19,22,73.6,62.56
DMR971,3/11/17,DRY,Male,MALE SUBADULT,1027,"mixed rural agricultural/grasslands area, multiple tukals",130,19,22,73.92,58.83
DMR974,3/11/17,DRY,Male,MALE SUBADULT,1027,"mixed rural agricultural/grasslands area, multiple tukals",134,19,21,74.59,67.89
DMR935,3/8/17,DRY,Male,MALE SUBADULT,1030,mixed rural agricultural/grasslands area,136,19,22,75.9,65.5
DMR949,3/9/17,DRY,Male,MALE SUBADULT,1023,"mixed rural agricultural/grasslands area, multiple tukals",124,20,22,76.3,76.99
DMR969,3/11/17,DRY,Male,MALE SUBADULT,1027,"mixed rural agricultural/grasslands area, multiple tukals",135,19,22,76.65,62.8
DMR948,3/9/17,DRY,Male,MALE SUBADULT,1023,"mixed rural agricultural/grasslands area, multiple tukals",136,18,22,76.66,69.01
DMR930,3/8/17,DRY,Male,MALE SUBADULT,1030,mixed rural agricultural/grasslands area,135,22,24,76.95,68.34
DMR938,3/8/17,DRY,Male,MALE SUBADULT,1030,mixed rural agricultural/grasslands area,127,18,21,77.08,50.4
DMR947,3/9/17,DRY,Male,MALE SUBADULT,1023,"mixed rural agricultural/grasslands area, multiple tukals",135,19,22,77.59,69.08
DMR1019,7/19/17,RAINY,Male,MALE SCROTAL ADULT,1030,"Rural area, multiple tukals, agricultural plots, rolling hills",142,20,23,74.66,73.16
DMR1029,7/20/17,RAINY,Male,MALE SCROTAL ADULT,1053,"Rural area; nets sighted amongst tukals and mango tree, agricultral fields",150.5,19,20.2,75,77.87
DMR1013,7/17/17,RAINY,Male,MALE SCROTAL ADULT,1053,"Rural area with multiple tukals, agricultural plots, rolling hills; nets set between mango trees and tukuls; teak",140,19,23,75.27,75.66
DMR991,7/16/17,RAINY,Male,MALE SCROTAL ADULT,957,"Rural area with multiple tukals, agricultural plots, rolling hills",141,18,22,75.91,75.85
DMR1022,7/19/17,RAINY,Male,MALE SCROTAL ADULT,1030,"Rural area, multiple tukals, agricultural plots, rolling hills",142,22,23,75.91,75.23
DMR993,7/16/17,RAINY,Male,MALE SCROTAL ADULT,957,"Rural area with multiple tukals, agricultural plots, rolling hills",146,19,22,76.33,78.69
DMR979,7/14/17,RAINY,Male,MALE SCROTAL ADULT,1030,"Epomophorus sighted in teak trees next to house; rural, tukals, rolling hills",142,21,21,76.5,76.24
DMR1021,7/19/17,RAINY,Male,MALE SCROTAL ADULT,1030,"Rural area, multiple tukals, agricultural plots, rolling hills",140,21,24,77.04,72.13
DMR1005,7/17/17,RAINY,Male,MALE JUVENILE,1053,"Rural area with multiple tukals, agricultural plots, rolling hills; nets set between mango trees and tukuls; teak",117,18,21,65.66,43.58
DMR1009,7/17/17,RAINY,Male,MALE JUVENILE,1053,"Rural area with multiple tukals, agricultural plots, rolling hills; nets set between mango trees and tukuls; teak",113,18,19,66.71,44.91
DMR989,7/15/17,RAINY,Male,MALE JUVENILE,974,Epomophorus sighted in mohagany tree in rural trading center surrounded by agricultural plots,117,21,20,67.5,44
DMR1024,7/19/17,RAINY,Male,MALE JUVENILE,1030,"Rural area, multiple tukals, agricultural plots, rolling hills",121,17,21,68,47.7
DMR982,7/14/17,RAINY,Male,MALE JUVENILE,1030,"Epomophorus sighted in teak trees next to house; rural, tukals, rolling hills",112,19,22,69.9,41.85
DMR1004,7/17/17,RAINY,Male,MALE JUVENILE,1053,"Rural area with multiple tukals, agricultural plots, rolling hills; nets set between mango trees and tukuls; teak",109,21,20.5,67.44,40.85
DMR1007,7/17/17,RAINY,Male,MALE JUVENILE,1053,"Rural area with multiple tukals, agricultural plots, rolling hills; nets set between mango trees and tukuls; teak",114,18.5,20,68.7,42.18
DMR980,7/14/17,RAINY,Male,MALE JUVENILE,1030,"Epomophorus sighted in teak trees next to house; rural, tukals, rolling hills",122,18,21,70.5,53.71
DMR998,7/16/17,RAINY,Male,MALE SUBADULT,957,"Rural area with multiple tukals, agricultural plots, rolling hills",128,18,22,71.2,62.7
DMR1006,7/17/17,RAINY,Male,MALE JUVENILE,1053,"Rural area with multiple tukals, agricultural plots, rolling hills; nets set between mango trees and tukuls; teak",118,18,21,71.24,52.09
DMR981,7/14/17,RAINY,Male,MALE SUBADULT,1030,"Epomophorus sighted in teak trees next to house; rural, tukals, rolling hills",135,19,22,73,66.18
DMR992,7/16/17,RAINY,Male,MALE SUBADULT,957,"Rural area with multiple tukals, agricultural plots, rolling hills",134,20,21,74.51,65.82
DMR994,7/16/17,RAINY,Male,MALE SUBADULT,957,"Rural area with multiple tukals, agricultural plots, rolling hills",133,19,21,74.86,65.97
DMR1000,7/16/17,RAINY,Male,MALE SUBADULT,957,"Rural area with multiple tukals, agricultural plots, rolling hills",135,18,22,76.68,70.9
DMR1001,7/16/17,RAINY,Male,MALE SUBADULT,957,"Rural area with multiple tukals, agricultural plots, rolling hills",135,19,20,76.84,66.66
DMR1002,7/16/17,RAINY,Male,MALE JUVENILE,957,"Rural area with multiple tukals, agricultural plots, rolling hills",116,19,22,68.63,48.14